iter	Passed	Remaining
0	169	169200
1	171	85662
2	173	57811
3	175	43650
4	176	35110
5	177	29422
6	178	25315
7	179	22288
8	180	19877
9	181	17933
10	181	16341
11	182	15020
12	183	13899
13	183	12938
14	184	12105
15	184	11376
16	185	10733
17	186	10160
18	186	9647
19	188	9218
20	189	8820
21	190	8451
22	191	8113
23	191	7806
24	193	7532
25	194	7277
26	196	7083
27	197	6861
28	198	6651
29	199	6455
30	200	6272
31	203	6142
32	204	5983
33	205	5829
34	206	5681
35	208	5579
36	209	5440
37	209	5307
38	210	5178
39	210	5063
40	211	4949
41	212	4841
42	213	4743
43	213	4640
44	213	4541
45	214	4445
46	214	4353
47	215	4266
48	215	4184
49	216	4105
50	216	4029
51	216	3955
52	217	3885
53	218	3819
54	218	3752
55	218	3687
56	219	3625
57	219	3564
58	219	3506
59	220	3449
60	220	3394
61	220	3341
62	221	3290
63	221	3240
64	221	3192
65	222	3145
66	222	3100
67	223	3057
68	223	3014
69	223	2972
70	224	2932
71	224	2893
72	225	2859
73	225	2822
74	225	2786
75	226	2752
76	226	2718
77	227	2684
78	227	2652
79	227	2620
80	228	2589
81	228	2559
82	228	2529
83	229	2501
84	229	2475
85	230	2447
86	230	2419
87	230	2393
88	231	2367
89	231	2342
90	232	2318
91	232	2294
92	232	2270
93	233	2248
94	233	2226
95	234	2203
96	234	2181
97	234	2162
98	235	2141
99	235	2121
100	236	2100
101	236	2079
102	236	2060
103	236	2041
104	237	2022
105	237	2004
106	237	1986
107	238	1968
108	238	1950
109	239	1933
110	239	1917
111	239	1901
112	240	1885
113	240	1869
114	240	1854
115	241	1838
116	241	1823
117	241	1808
118	242	1793
119	242	1779
120	242	1764
121	243	1751
122	243	1736
123	243	1723
124	244	1710
125	244	1697
126	245	1684
127	245	1670
128	245	1658
129	246	1646
130	246	1634
131	246	1623
132	247	1611
133	247	1599
134	247	1588
135	248	1578
136	248	1567
137	249	1556
138	249	1545
139	249	1534
140	250	1524
141	250	1513
142	250	1503
143	251	1493
144	251	1485
145	252	1475
146	252	1465
147	252	1455
148	253	1446
149	253	1437
150	253	1428
151	254	1418
152	254	1409
153	255	1402
154	255	1393
155	256	1385
156	256	1377
157	256	1368
158	257	1360
159	257	1352
160	258	1345
161	258	1338
162	259	1331
163	259	1324
164	260	1317
165	260	1310
166	261	1302
167	261	1295
168	261	1287
169	262	1280
170	262	1274
171	263	1267
172	263	1260
173	264	1254
174	264	1248
175	265	1241
176	265	1234
177	266	1228
178	266	1222
179	266	1215
180	267	1208
181	267	1202
182	267	1195
183	268	1189
184	268	1183
185	269	1178
186	269	1172
187	270	1166
188	270	1160
189	270	1155
190	271	1149
191	271	1143
192	272	1138
193	272	1132
194	272	1126
195	273	1121
196	273	1116
197	274	1111
198	274	1105
199	275	1101
200	276	1100
201	277	1096
202	277	1091
203	278	1086
204	278	1081
205	279	1076
206	279	1071
207	280	1066
208	280	1061
209	280	1056
210	281	1052
211	281	1047
212	282	1042
213	282	1037
214	282	1033
215	283	1028
216	283	1024
217	284	1020
218	284	1015
219	285	1012
220	286	1008
221	286	1004
222	287	1000
223	287	996
224	288	992
225	288	987
226	288	983
227	289	978
228	289	974
229	290	971
230	290	966
231	290	962
232	291	958
233	291	954
234	291	950
235	292	946
236	292	942
237	293	938
238	293	934
239	293	930
240	294	926
241	294	922
242	295	919
243	295	915
244	295	912
245	296	908
246	296	904
247	297	900
248	297	897
249	298	894
250	298	890
251	298	886
252	299	883
253	300	881
254	300	878
255	301	875
256	301	872
257	302	869
258	302	866
259	303	863
260	303	860
261	304	856
262	304	853
263	305	850
264	305	847
265	306	844
266	306	841
267	306	838
268	307	836
269	308	834
270	309	832
271	309	829
272	310	826
273	310	823
274	311	820
275	312	818
276	312	816
277	313	814
278	314	811
279	314	808
280	315	806
281	315	803
282	316	800
283	316	798
284	317	796
285	318	794
286	319	793
287	320	791
288	320	789
289	321	786
290	321	784
291	322	781
292	322	779
293	323	776
294	324	774
295	324	771
296	324	768
297	325	766
298	325	763
299	325	760
300	326	757
301	326	754
302	326	752
303	327	750
304	328	747
305	328	745
306	329	742
307	329	740
308	329	737
309	330	734
310	330	732
311	330	729
312	331	727
313	331	724
314	332	722
315	332	719
316	332	717
317	333	714
318	333	712
319	334	709
320	334	707
321	334	704
322	335	702
323	335	700
324	335	697
325	336	695
326	336	692
327	337	690
328	337	688
329	337	685
330	338	683
331	338	681
332	338	678
333	339	676
334	339	674
335	340	672
336	340	670
337	341	667
338	341	665
339	341	663
340	342	661
341	342	659
342	342	656
343	343	654
344	343	652
345	344	650
346	344	648
347	345	646
348	345	644
349	345	642
350	346	640
351	346	638
352	347	636
353	347	634
354	347	631
355	348	629
356	348	627
357	348	625
358	349	623
359	349	621
360	349	619
361	350	617
362	350	615
363	351	613
364	351	611
365	351	609
366	352	607
367	352	605
368	352	603
369	353	601
370	353	599
371	354	597
372	354	596
373	354	594
374	355	592
375	355	590
376	356	588
377	356	586
378	356	584
379	357	582
380	357	581
381	357	579
382	358	577
383	358	575
384	359	573
385	359	572
386	360	571
387	361	569
388	361	567
389	361	565
390	362	563
391	362	562
392	362	560
393	363	558
394	363	556
395	363	554
396	364	553
397	364	551
398	365	549
399	365	548
400	365	546
401	366	544
402	366	542
